"A10" "A50" "A100" "A500" "A5000"
"997" 1 1 0 0 0
"998" 1 1 0 1 0
"999" 1 0 1 1 1
"1000" 0 0 1 0 1
"1001" 1 1 0 1 0
"1002" 1 0 1 0 1
"1003" 0 0 0 0 0
"1004" 0 1 1 0 1
"1005" 0 1 1 0 0
"1006" 0 0 0 1 1
"1007" 1 1 1 1 0
"1008" 1 0 1 1 0
"1009" 1 0 0 1 0
"1010" 0 0 0 1 1
"1011" 1 0 1 0 0
"1012" 1 0 0 0 0
"1013" 0 1 0 1 0
"1014" 0 0 0 0 0
"1015" 0 0 1 0 1
"1016" 0 0 0 0 0
"1017" 1 1 1 0 1
"1018" 1 0 1 1 0
"1019" 1 0 0 0 1
"1020" 0 0 0 0 1
"1021" 1 0 1 1 1
"1022" 1 0 1 1 1
"1023" 0 0 1 0 1
"1024" 0 1 0 1 1
"1025" 0 1 0 0 0
"1026" 0 1 0 0 1
"1027" 1 0 1 1 0
"1028" 1 0 1 0 1
"1029" 1 1 0 0 0
"1030" 0 0 0 0 1
"1031" 1 1 0 0 1
"1032" 1 0 1 0 0
"1033" 0 1 0 1 1
"1034" 0 1 0 0 0
"1035" 0 1 0 1 1
"1036" 0 1 0 1 1
"1037" 1 1 0 1 0
"1038" 1 1 1 0 1
"1039" 1 0 1 0 1
"1040" 0 1 1 0 1
"1041" 1 0 1 0 1
"1042" 1 0 0 1 1
"1043" 0 0 0 0 1
"1044" 0 1 0 1 0
"1045" 0 1 1 0 0
"1046" 0 1 0 1 0
"1047" 1 1 0 0 0
"1048" 1 1 0 0 0
"1049" 1 0 1 0 0
"1050" 0 0 0 0 0
"1051" 1 1 0 0 0
"1052" 1 0 0 1 0
"1053" 0 0 1 1 0
"1054" 0 1 0 1 1
"1055" 0 1 1 0 1
"1056" 0 0 0 1 0
"1057" 1 1 1 0 0
"1058" 1 0 0 0 0
"1059" 1 0 0 1 0
"1060" 0 0 0 0 1
"1061" 1 0 0 0 1
"1062" 1 0 1 0 0
"1063" 0 1 0 0 0
"1064" 0 0 0 0 0
"1065" 0 0 1 1 0
"1066" 0 0 1 1 0
"1067" 1 1 0 0 0
"1068" 1 0 0 1 1
"1069" 1 0 0 0 1
"1070" 0 0 0 1 1
"1071" 1 0 1 1 0
"1072" 1 0 0 0 0
"1073" 0 0 1 0 1
"1074" 0 1 1 1 0
"1075" 0 1 1 1 1
"1076" 0 1 0 1 0
"1077" 1 0 1 0 1
"1078" 1 0 0 1 1
"1079" 1 1 0 0 0
"1080" 0 0 1 1 1
"1081" 1 1 1 0 1
"1082" 1 0 1 0 1
"1083" 0 1 0 1 1
"1084" 0 1 0 0 1
"1085" 0 1 0 0 1
"1086" 0 1 0 0 0
"1087" 1 1 1 1 0
"1088" 1 1 0 0 0
"1089" 1 0 1 1 0
"1090" 0 1 0 0 0
"1091" 1 0 1 0 0
"1092" 1 0 0 0 1
"1093" 0 0 0 1 1
"1094" 0 1 0 0 0
"1095" 0 1 0 1 1
"1096" 0 1 1 0 1
"1097" 1 1 0 1 1
"1098" 1 1 0 0 1
"1099" 1 0 1 0 1
"1100" 0 0 1 0 0
"1101" 1 1 0 1 0
"1102" 1 0 1 1 1
"1103" 0 0 0 0 1
"1104" 0 1 1 0 0
"1105" 0 1 1 0 0
"1106" 0 0 0 1 0
"1107" 1 1 1 0 1
"1108" 1 0 1 0 0
"1109" 1 0 0 0 0
"1110" 0 0 0 1 1
"1111" 1 0 1 0 1
"1112" 1 0 0 1 1
"1113" 0 1 0 1 0
"1114" 0 0 0 0 0
"1115" 0 0 1 1 1
"1116" 0 0 0 1 0
"1117" 1 1 1 1 1
"1118" 1 0 1 1 0
"1119" 1 0 0 1 1
"1120" 0 0 0 0 0
"1121" 1 0 1 1 1
"1122" 1 0 1 1 1
"1123" 0 0 1 0 0
"1124" 0 1 0 0 1
"1125" 0 1 0 0 1
"1126" 0 1 0 0 0
"1127" 1 0 1 0 0
"1128" 1 0 1 1 1
"1129" 1 1 0 1 0
"1130" 0 0 0 1 0
"1131" 1 1 0 1 0
"1132" 1 0 1 0 0
"1133" 0 1 0 0 0
"1134" 0 1 0 0 0
"1135" 0 1 0 1 0
"1136" 0 1 0 0 1
"1137" 1 1 0 0 1
"1138" 1 1 1 0 0
"1139" 1 0 1 0 0
"1140" 0 1 1 0 1
"1141" 1 0 1 1 1
"1142" 1 0 0 0 0
"1143" 0 0 0 0 1
"1144" 0 1 0 0 1
"1145" 0 1 1 0 0
"1146" 0 1 0 0 0
"1147" 1 1 0 0 0
"1148" 1 1 0 0 1
"1149" 1 0 1 0 1
"1150" 0 0 0 0 1
"1151" 1 1 0 0 0
"1152" 1 0 0 1 1
"1153" 0 0 1 1 0
"1154" 0 1 0 1 0
"1155" 0 1 1 1 1
"1156" 0 0 0 0 1
"1157" 1 1 1 0 1
"1158" 1 0 0 1 0
"1159" 1 0 0 1 0
"1160" 0 0 0 1 1
"1161" 1 0 0 1 1
"1162" 1 0 1 1 0
"1163" 0 1 0 0 1
"1164" 0 0 0 1 1
"1165" 0 0 1 0 1
"1166" 0 0 1 0 0
"1167" 1 1 0 1 0
"1168" 1 0 0 1 0
"1169" 1 0 0 1 1
"1170" 0 0 0 0 0
"1171" 1 0 1 0 0
"1172" 1 0 0 0 1
"1173" 0 0 1 1 0
"1174" 0 1 1 1 0
"1175" 0 1 1 0 0
"1176" 0 1 0 0 0
"1177" 1 0 1 0 1
"1178" 1 0 0 1 1
"1179" 1 1 0 1 1
"1180" 0 0 1 0 1
"1181" 1 1 1 0 1
"1182" 1 0 1 1 1
"1183" 0 1 0 1 1
"1184" 0 1 0 1 1
"1185" 0 1 0 0 0
"1186" 0 1 0 0 1
"1187" 1 1 1 1 1
"1188" 1 1 0 0 0
"1189" 1 0 1 0 1
"1190" 0 1 0 0 1
"1191" 1 0 1 0 1
"1192" 1 0 0 0 1
"1193" 0 0 0 0 1
"1194" 0 1 0 0 0
"1195" 0 1 0 0 1
"1196" 0 1 1 0 0
"1197" 1 1 0 1 0
"1198" 1 1 0 0 1
"1199" 1 0 1 0 1
"1200" 0 0 1 1 1
"1201" 1 1 0 1 0
"1202" 1 0 1 1 0
"1203" 0 0 0 1 1
"1204" 0 1 1 0 0
"1205" 0 1 1 0 1
"1206" 0 0 0 0 0
"1207" 1 1 1 1 1
"1208" 1 0 1 0 1
"1209" 1 0 0 1 1
"1210" 0 0 0 1 1
"1211" 1 0 1 0 0
"1212" 1 0 0 0 0
"1213" 0 1 0 1 0
"1214" 0 0 0 1 0
"1215" 0 0 1 0 1
"1216" 0 0 0 1 0
"1217" 1 1 1 1 1
"1218" 1 0 1 1 1
"1219" 1 0 0 0 1
"1220" 0 0 0 1 1
"1221" 1 0 1 1 0
"1222" 1 0 1 0 1
"1223" 0 0 1 0 0
"1224" 0 1 0 1 0
"1225" 0 1 0 0 0
"1226" 0 1 0 1 1
"1227" 1 0 1 0 1
"1228" 1 0 1 1 1
"1229" 1 1 0 0 0
"1230" 0 0 0 0 1
"1231" 1 1 0 0 0
"1232" 1 0 1 0 0
"1233" 0 1 0 1 1
"1234" 0 1 0 0 1
"1235" 0 1 0 1 0
"1236" 0 1 0 0 0
"1237" 1 1 0 1 0
"1238" 1 1 1 0 1
"1239" 1 0 1 0 1
"1240" 0 1 1 0 1
"1241" 1 0 1 1 1
"1242" 1 0 0 1 0
"1243" 0 0 0 0 0
"1244" 0 1 0 1 1
"1245" 0 1 1 0 1
"1246" 0 1 0 0 0
"1247" 1 1 0 1 1
"1248" 1 1 0 1 0
"1249" 1 0 1 1 0
"1250" 0 0 0 1 1
"1251" 1 1 0 0 1
"1252" 1 0 0 0 1
"1253" 0 0 1 1 1
"1254" 0 1 0 0 0
"1255" 0 1 1 1 0
"1256" 0 0 0 0 1
"1257" 1 1 1 0 0
"1258" 1 0 0 0 0
"1259" 1 0 0 0 1
"1260" 0 0 0 0 0
"1261" 1 0 0 0 1
"1262" 1 0 1 1 0
"1263" 0 1 0 1 0
"1264" 0 0 0 0 1
"1265" 0 0 1 1 0
"1266" 0 0 1 0 0
"1267" 1 1 0 1 1
"1268" 1 0 0 1 0
"1269" 1 0 0 1 0
"1270" 0 0 0 1 0
"1271" 1 0 1 0 0
"1272" 1 0 0 0 0
"1273" 0 0 1 1 0
"1274" 0 1 1 0 0
"1275" 0 1 1 1 1
"1276" 0 1 0 0 1
"1277" 1 0 1 0 0
"1278" 1 0 0 0 0
"1279" 1 1 0 0 0
"1280" 0 0 1 0 0
"1281" 1 1 1 1 1
"1282" 1 0 1 1 0
"1283" 0 1 0 0 0
"1284" 0 1 0 1 1
"1285" 0 1 0 1 0
"1286" 0 1 0 1 0
"1287" 1 1 1 1 0
"1288" 1 1 0 0 0
"1289" 1 0 1 0 0
"1290" 0 1 0 1 0
"1291" 1 0 1 0 1
"1292" 1 0 0 1 0
"1293" 0 0 0 1 1
"1294" 0 1 0 1 1
"1295" 0 1 0 1 1
"1296" 0 1 1 0 1
"1297" 1 1 0 1 0
"1298" 1 1 0 0 0
"1299" 1 0 1 0 1
"1300" 0 0 1 1 1
"1301" 1 1 0 0 1
"1302" 1 0 1 1 0
"1303" 0 0 0 0 1
"1304" 0 1 1 0 0
"1305" 0 1 1 0 1
"1306" 0 0 0 0 0
"1307" 1 1 1 0 0
"1308" 1 0 1 0 0
"1309" 1 0 0 0 1
"1310" 0 0 0 1 1
"1311" 1 0 1 1 0
"1312" 1 0 0 1 0
"1313" 0 1 0 0 1
"1314" 0 0 0 1 0
"1315" 0 0 1 1 0
"1316" 0 0 0 1 0
"1317" 1 1 1 0 1
"1318" 1 0 1 1 1
"1319" 1 0 0 1 0
"1320" 0 0 0 0 0
"1321" 1 0 1 0 1
"1322" 1 0 1 1 0
"1323" 0 0 1 0 1
"1324" 0 1 0 1 0
"1325" 0 1 0 1 0
"1326" 0 1 0 0 0
"1327" 1 0 1 0 0
"1328" 1 0 1 1 0
"1329" 1 1 0 0 0
"1330" 0 0 0 0 0
"1331" 1 1 0 1 1
"1332" 1 0 1 1 0
"1333" 0 1 0 1 0
"1334" 0 1 0 1 0
"1335" 0 1 0 0 0
"1336" 0 1 0 0 0
"1337" 1 1 0 1 1
"1338" 1 1 1 0 1
"1339" 1 0 1 0 0
"1340" 0 1 1 0 0
"1341" 1 0 1 1 0
"1342" 1 0 0 1 1
"1343" 0 0 0 0 1
"1344" 0 1 0 1 1
"1345" 0 1 1 0 1
"1346" 0 1 0 0 0
"1347" 1 1 0 1 0
"1348" 1 1 0 1 0
"1349" 1 0 1 0 0
"1350" 0 0 0 0 1
"1351" 1 1 0 0 0
"1352" 1 0 0 0 0
"1353" 0 0 1 1 0
"1354" 0 1 0 1 0
"1355" 0 1 1 1 1
"1356" 0 0 0 1 1
"1357" 1 1 1 0 1
"1358" 1 0 0 0 1
"1359" 1 0 0 1 1
"1360" 0 0 0 0 1
"1361" 1 0 0 1 0
"1362" 1 0 1 1 1
"1363" 0 1 0 0 0
"1364" 0 0 0 0 0
"1365" 0 0 1 0 1
"1366" 0 0 1 0 0
"1367" 1 1 0 1 1
"1368" 1 0 0 0 1
"1369" 1 0 0 0 1
"1370" 0 0 0 1 1
"1371" 1 0 1 1 1
"1372" 1 0 0 0 0
"1373" 0 0 1 1 0
"1374" 0 1 1 0 0
"1375" 0 1 1 0 1
"1376" 0 1 0 1 1
"1377" 1 0 1 0 1
"1378" 1 0 0 0 0
"1379" 1 1 0 1 1
"1380" 0 0 1 0 1
"1381" 1 1 1 0 1
"1382" 1 0 1 1 0
"1383" 0 1 0 1 1
"1384" 0 1 0 1 0
"1385" 0 1 0 1 1
"1386" 0 1 0 1 1
"1387" 1 1 1 0 1
"1388" 1 1 0 1 1
"1389" 1 0 1 0 0
"1390" 0 1 0 1 1
"1391" 1 0 1 0 1
"1392" 1 0 0 1 0
"1393" 0 0 0 0 1
"1394" 0 1 0 0 0
"1395" 0 1 0 0 0
"1396" 0 1 1 0 1
"1397" 1 1 0 0 1
"1398" 1 1 0 1 0
"1399" 1 0 1 1 1
"1400" 0 0 1 0 0
"1401" 1 1 0 0 1
"1402" 1 0 1 0 0
"1403" 0 0 0 1 1
"1404" 0 1 1 0 0
"1405" 0 1 1 0 0
"1406" 0 0 0 0 0
"1407" 1 1 1 0 1
"1408" 1 0 1 1 1
"1409" 1 0 0 0 1
"1410" 0 0 0 1 0
"1411" 1 0 1 0 0
"1412" 1 0 0 1 0
"1413" 0 1 0 1 1
"1414" 0 0 0 0 0
"1415" 0 0 1 1 0
"1416" 0 0 0 0 0
"1417" 1 1 1 1 1
"1418" 1 0 1 0 0
"1419" 1 0 0 1 0
"1420" 0 0 0 1 1
"1421" 1 0 1 1 0
"1422" 1 0 1 1 0
"1423" 0 0 1 0 0
"1424" 0 1 0 0 0
"1425" 0 1 0 1 1
"1426" 0 1 0 0 1
"1427" 1 0 1 1 0
"1428" 1 0 1 1 0
"1429" 1 1 0 0 0
"1430" 0 0 0 1 0
"1431" 1 1 0 1 0
"1432" 1 0 1 0 0
"1433" 0 1 0 0 0
"1434" 0 1 0 0 0
"1435" 0 1 0 0 0
"1436" 0 1 0 1 1
"1437" 1 1 0 0 1
"1438" 1 1 1 1 0
"1439" 1 0 1 1 0
"1440" 0 1 1 1 0
"1441" 1 0 1 0 1
"1442" 1 0 0 1 1
"1443" 0 0 0 0 1
"1444" 0 1 0 1 0
"1445" 0 1 1 0 0
"1446" 0 1 0 0 0
"1447" 1 1 0 1 1
"1448" 1 1 0 0 1
"1449" 1 0 1 1 0
"1450" 0 0 0 1 1
"1451" 1 1 0 1 1
"1452" 1 0 0 0 1
"1453" 0 0 1 0 0
"1454" 0 1 0 0 0
"1455" 0 1 1 0 1
"1456" 0 0 0 1 1
"1457" 1 1 1 1 1
"1458" 1 0 0 0 1
"1459" 1 0 0 1 0
"1460" 0 0 0 1 1
"1461" 1 0 0 1 1
"1462" 1 0 1 1 1
"1463" 0 1 0 0 0
"1464" 0 0 0 0 1
"1465" 0 0 1 0 0
"1466" 0 0 1 0 0
"1467" 1 1 0 1 1
"1468" 1 0 0 0 1
"1469" 1 0 0 1 0
"1470" 0 0 0 0 0
"1471" 1 0 1 0 1
"1472" 1 0 0 1 0
"1473" 0 0 1 1 1
"1474" 0 1 1 0 1
"1475" 0 1 1 1 0
"1476" 0 1 0 1 0
"1477" 1 0 1 0 0
"1478" 1 0 0 0 1
"1479" 1 1 0 1 1
"1480" 0 0 1 0 0
"1481" 1 1 1 0 0
"1482" 1 0 1 1 0
"1483" 0 1 0 0 0
"1484" 0 1 0 0 1
"1485" 0 1 0 1 0
"1486" 0 1 0 0 1
"1487" 1 1 1 0 0
"1488" 1 1 0 0 0
"1489" 1 0 1 1 0
"1490" 0 1 0 1 1
"1491" 1 0 1 1 0
"1492" 1 0 0 0 1
"1493" 0 0 0 0 1
"1494" 0 1 0 1 0
"1495" 0 1 0 0 0
"1496" 0 1 1 0 0
"1497" 1 1 0 0 0
"1498" 1 1 0 1 0
"1499" 1 0 1 1 1
"1500" 0 0 1 0 1
"1501" 1 1 0 1 0
"1502" 1 0 1 0 0
"1503" 0 0 0 0 1
"1504" 0 1 1 0 1
"1505" 0 1 1 0 1
"1506" 0 0 0 1 0
"1507" 1 1 1 1 1
"1508" 1 0 1 1 1
"1509" 1 0 0 1 1
"1510" 0 0 0 1 0
"1511" 1 0 1 0 0
"1512" 1 0 0 0 0
"1513" 0 1 0 1 1
"1514" 0 0 0 0 0
"1515" 0 0 1 0 0
"1516" 0 0 0 0 1
"1517" 1 1 1 0 0
"1518" 1 0 1 1 1
"1519" 1 0 0 0 0
"1520" 0 0 0 0 1
"1521" 1 0 1 1 1
"1522" 1 0 1 1 1
"1523" 0 0 1 0 0
"1524" 0 1 0 1 1
"1525" 0 1 0 0 0
"1526" 0 1 0 0 0
"1527" 1 0 1 1 0
"1528" 1 0 1 0 1
"1529" 1 1 0 0 0
"1530" 0 0 0 0 1
"1531" 1 1 0 0 1
"1532" 1 0 1 0 1
"1533" 0 1 0 1 1
"1534" 0 1 0 0 1
"1535" 0 1 0 1 0
"1536" 0 1 0 1 1
"1537" 1 1 0 1 1
"1538" 1 1 1 0 0
"1539" 1 0 1 0 1
"1540" 0 1 1 0 0
"1541" 1 0 1 0 0
"1542" 1 0 0 1 0
"1543" 0 0 0 0 0
"1544" 0 1 0 1 0
"1545" 0 1 1 0 1
"1546" 0 1 0 1 0
"1547" 1 1 0 0 0
"1548" 1 1 0 0 0
"1549" 1 0 1 0 0
"1550" 0 0 0 0 1
"1551" 1 1 0 0 0
"1552" 1 0 0 1 0
"1553" 0 0 1 1 0
"1554" 0 1 0 1 1
"1555" 0 1 1 0 1
"1556" 0 0 0 1 0
"1557" 1 1 1 0 1
"1558" 1 0 0 0 0
"1559" 1 0 0 1 0
"1560" 0 0 0 0 1
"1561" 1 0 0 0 0
"1562" 1 0 1 0 1
"1563" 0 1 0 0 1
"1564" 0 0 0 0 1
"1565" 0 0 1 1 1
"1566" 0 0 1 1 0
"1567" 1 1 0 0 1
"1568" 1 0 0 1 1
"1569" 1 0 0 0 0
"1570" 0 0 0 1 1
"1571" 1 0 1 1 0
"1572" 1 0 0 0 1
"1573" 0 0 1 0 0
"1574" 0 1 1 1 0
"1575" 0 1 1 1 1
"1576" 0 1 0 1 0
"1577" 1 0 1 0 1
"1578" 1 0 0 1 1
"1579" 1 1 0 0 0
"1580" 0 0 1 1 0
"1581" 1 1 1 0 0
"1582" 1 0 1 0 1
"1583" 0 1 0 1 0
"1584" 0 1 0 0 0
"1585" 0 1 0 0 0
"1586" 0 1 0 0 1
"1587" 1 1 1 1 0
"1588" 1 1 0 0 0
"1589" 1 0 1 1 0
"1590" 0 1 0 0 0
"1591" 1 0 1 0 0
"1592" 1 0 0 0 0
"1593" 0 0 0 1 0
"1594" 0 1 0 0 1
"1595" 0 1 0 1 1
"1596" 0 1 1 0 0
"1597" 1 1 0 1 0
"1598" 1 1 0 0 1
"1599" 1 0 1 0 1
"1600" 0 0 1 0 1
"1601" 1 1 0 1 1
"1602" 1 0 1 1 0
"1603" 0 0 0 0 1
"1604" 0 1 1 0 0
"1605" 0 1 1 0 0
"1606" 0 0 0 1 0
"1607" 1 1 1 0 0
"1608" 1 0 1 0 1
"1609" 1 0 0 0 1
"1610" 0 0 0 1 0
"1611" 1 0 1 0 0
"1612" 1 0 0 1 0
"1613" 0 1 0 1 0
"1614" 0 0 0 0 1
"1615" 0 0 1 1 0
"1616" 0 0 0 1 0
"1617" 1 1 1 1 0
"1618" 1 0 1 1 1
"1619" 1 0 0 1 0
"1620" 0 0 0 0 0
"1621" 1 0 1 1 1
"1622" 1 0 1 1 0
"1623" 0 0 1 0 0
"1624" 0 1 0 0 1
"1625" 0 1 0 0 1
"1626" 0 1 0 0 1
"1627" 1 0 1 0 1
"1628" 1 0 1 1 0
"1629" 1 1 0 1 0
"1630" 0 0 0 1 0
"1631" 1 1 0 1 0
"1632" 1 0 1 0 0
"1633" 0 1 0 0 0
"1634" 0 1 0 0 1
"1635" 0 1 0 1 1
"1636" 0 1 0 0 0
"1637" 1 1 0 0 0
"1638" 1 1 1 0 0
"1639" 1 0 1 0 0
"1640" 0 1 1 0 0
"1641" 1 0 1 1 1
"1642" 1 0 0 0 0
"1643" 0 0 0 0 0
"1644" 0 1 0 0 0
"1645" 0 1 1 0 1
"1646" 0 1 0 0 0
"1647" 1 1 0 0 0
"1648" 1 1 0 0 1
"1649" 1 0 1 0 0
"1650" 0 0 0 0 0
"1651" 1 1 0 0 0
"1652" 1 0 0 1 0
"1653" 0 0 1 1 1
"1654" 0 1 0 1 1
"1655" 0 1 1 1 0
"1656" 0 0 0 0 1
"1657" 1 1 1 0 0
"1658" 1 0 0 1 0
"1659" 1 0 0 1 0
"1660" 0 0 0 1 0
"1661" 1 0 0 1 0
"1662" 1 0 1 1 0
"1663" 0 1 0 0 0
"1664" 0 0 0 1 1
"1665" 0 0 1 0 1
"1666" 0 0 1 0 1
"1667" 1 1 0 1 0
"1668" 1 0 0 1 0
"1669" 1 0 0 1 1
"1670" 0 0 0 0 0
"1671" 1 0 1 0 1
"1672" 1 0 0 0 1
"1673" 0 0 1 1 0
"1674" 0 1 1 1 0
"1675" 0 1 1 0 0
"1676" 0 1 0 0 0
"1677" 1 0 1 0 1
"1678" 1 0 0 1 0
"1679" 1 1 0 1 0
"1680" 0 0 1 0 1
"1681" 1 1 1 0 0
"1682" 1 0 1 1 1
"1683" 0 1 0 1 1
"1684" 0 1 0 1 1
"1685" 0 1 0 0 1
"1686" 0 1 0 0 1
"1687" 1 1 1 1 0
"1688" 1 1 0 0 1
"1689" 1 0 1 0 0
"1690" 0 1 0 0 0
"1691" 1 0 1 0 0
"1692" 1 0 0 0 0
"1693" 0 0 0 0 0
"1694" 0 1 0 0 0
"1695" 0 1 0 0 0
"1696" 0 1 1 0 0
"1697" 1 1 0 1 0
"1698" 1 1 0 0 1
"1699" 1 0 1 0 1
"1700" 0 0 1 1 0
"1701" 1 1 0 1 1
"1702" 1 0 1 1 0
"1703" 0 0 0 1 0
"1704" 0 1 1 0 1
"1705" 0 1 1 0 0
"1706" 0 0 0 0 0
"1707" 1 1 1 1 1
"1708" 1 0 1 0 1
"1709" 1 0 0 1 1
"1710" 0 0 0 1 1
"1711" 1 0 1 0 0
"1712" 1 0 0 0 0
"1713" 0 1 0 1 0
"1714" 0 0 0 1 0
"1715" 0 0 1 0 1
"1716" 0 0 0 1 0
"1717" 1 1 1 1 1
"1718" 1 0 1 1 1
"1719" 1 0 0 0 1
"1720" 0 0 0 1 0
"1721" 1 0 1 1 0
"1722" 1 0 1 0 0
"1723" 0 0 1 0 0
"1724" 0 1 0 1 1
"1725" 0 1 0 0 0
"1726" 0 1 0 1 0
"1727" 1 0 1 0 0
"1728" 1 0 1 1 1
"1729" 1 1 0 0 0
"1730" 0 0 0 0 1
"1731" 1 1 0 0 1
"1732" 1 0 1 0 0
"1733" 0 1 0 1 1
"1734" 0 1 0 0 0
"1735" 0 1 0 1 0
"1736" 0 1 0 0 1
"1737" 1 1 0 1 0
"1738" 1 1 1 0 0
"1739" 1 0 1 0 0
"1740" 0 1 1 0 0
"1741" 1 0 1 1 1
"1742" 1 0 0 1 1
"1743" 0 0 0 0 1
"1744" 0 1 0 1 0
"1745" 0 1 1 0 0
"1746" 0 1 0 0 0
"1747" 1 1 0 1 1
"1748" 1 1 0 1 0
"1749" 1 0 1 1 0
"1750" 0 0 0 1 0
"1751" 1 1 0 0 0
"1752" 1 0 0 0 0
"1753" 0 0 1 1 0
"1754" 0 1 0 0 0
"1755" 0 1 1 1 0
"1756" 0 0 0 0 1
"1757" 1 1 1 0 0
"1758" 1 0 0 0 0
"1759" 1 0 0 0 0
"1760" 0 0 0 0 1
"1761" 1 0 0 0 1
"1762" 1 0 1 1 0
"1763" 0 1 0 1 0
"1764" 0 0 0 0 0
"1765" 0 0 1 1 0
"1766" 0 0 1 0 1
"1767" 1 1 0 1 1
"1768" 1 0 0 1 1
"1769" 1 0 0 1 0
"1770" 0 0 0 1 1
"1771" 1 0 1 0 1
"1772" 1 0 0 0 0
"1773" 0 0 1 1 0
"1774" 0 1 1 0 1
"1775" 0 1 1 1 0
"1776" 0 1 0 0 0
"1777" 1 0 1 0 1
"1778" 1 0 0 0 1
"1779" 1 1 0 0 0
"1780" 0 0 1 0 1
"1781" 1 1 1 1 0
"1782" 1 0 1 1 0
"1783" 0 1 0 0 0
"1784" 0 1 0 1 1
"1785" 0 1 0 1 1
"1786" 0 1 0 1 0
"1787" 1 1 1 1 0
"1788" 1 1 0 0 0
"1789" 1 0 1 0 0
"1790" 0 1 0 1 0
"1791" 1 0 1 0 1
"1792" 1 0 0 1 0
"1793" 0 0 0 1 0
"1794" 0 1 0 1 1
"1795" 0 1 0 1 1
"1796" 0 1 1 0 0
"1797" 1 1 0 1 1
"1798" 1 1 0 0 1
"1799" 1 0 1 0 1
"1800" 0 0 1 1 0
"1801" 1 1 0 0 0
"1802" 1 0 1 1 0
"1803" 0 0 0 0 0
"1804" 0 1 1 0 1
"1805" 0 1 1 0 0
"1806" 0 0 0 0 1
"1807" 1 1 1 0 0
"1808" 1 0 1 0 0
"1809" 1 0 0 0 0
"1810" 0 0 0 1 0
"1811" 1 0 1 1 1
"1812" 1 0 0 1 1
"1813" 0 1 0 0 1
"1814" 0 0 0 1 0
"1815" 0 0 1 1 0
"1816" 0 0 0 1 0
"1817" 1 1 1 0 1
"1818" 1 0 1 1 1
"1819" 1 0 0 1 0
"1820" 0 0 0 0 1
"1821" 1 0 1 0 0
"1822" 1 0 1 1 1
"1823" 0 0 1 0 1
"1824" 0 1 0 1 1
"1825" 0 1 0 1 0
"1826" 0 1 0 0 1
"1827" 1 0 1 0 0
"1828" 1 0 1 1 0
"1829" 1 1 0 0 0
"1830" 0 0 0 0 0
"1831" 1 1 0 1 0
"1832" 1 0 1 1 1
"1833" 0 1 0 1 1
"1834" 0 1 0 1 0
"1835" 0 1 0 0 1
"1836" 0 1 0 0 0
"1837" 1 1 0 1 0
"1838" 1 1 1 0 0
"1839" 1 0 1 0 0
"1840" 0 1 1 0 0
"1841" 1 0 1 1 0
"1842" 1 0 0 1 0
"1843" 0 0 0 0 1
"1844" 0 1 0 1 0
"1845" 0 1 1 0 0
"1846" 0 1 0 0 0
"1847" 1 1 0 1 0
"1848" 1 1 0 1 1
"1849" 1 0 1 0 0
"1850" 0 0 0 0 1
"1851" 1 1 0 0 0
"1852" 1 0 0 0 0
"1853" 0 0 1 1 0
"1854" 0 1 0 1 1
"1855" 0 1 1 1 1
"1856" 0 0 0 1 1
"1857" 1 1 1 0 1
"1858" 1 0 0 0 0
"1859" 1 0 0 1 1
"1860" 0 0 0 0 0
"1861" 1 0 0 1 1
"1862" 1 0 1 1 1
"1863" 0 1 0 0 1
"1864" 0 0 0 0 0
"1865" 0 0 1 0 1
"1866" 0 0 1 0 1
"1867" 1 1 0 1 1
"1868" 1 0 0 0 0
"1869" 1 0 0 0 0
"1870" 0 0 0 1 0
"1871" 1 0 1 1 1
"1872" 1 0 0 0 1
"1873" 0 0 1 1 1
"1874" 0 1 1 0 1
"1875" 0 1 1 0 0
"1876" 0 1 0 1 0
"1877" 1 0 1 0 0
"1878" 1 0 0 0 1
"1879" 1 1 0 1 0
"1880" 0 0 1 0 1
"1881" 1 1 1 0 0
"1882" 1 0 1 1 0
"1883" 0 1 0 1 1
"1884" 0 1 0 1 1
"1885" 0 1 0 1 0
"1886" 0 1 0 1 1
"1887" 1 1 1 0 1
"1888" 1 1 0 1 0
"1889" 1 0 1 0 0
"1890" 0 1 0 1 0
"1891" 1 0 1 0 0
"1892" 1 0 0 1 1
"1893" 0 0 0 0 1
"1894" 0 1 0 0 0
"1895" 0 1 0 0 1
"1896" 0 1 1 0 0
"1897" 1 1 0 0 1
"1898" 1 1 0 1 1
"1899" 1 0 1 1 0
"1900" 0 0 1 0 1
"1901" 1 1 0 0 0
"1902" 1 0 1 0 0
"1903" 0 0 0 1 0
"1904" 0 1 1 0 0
"1905" 0 1 1 0 0
"1906" 0 0 0 0 0
"1907" 1 1 1 0 0
"1908" 1 0 1 1 1
"1909" 1 0 0 0 1
"1910" 0 0 0 1 1
"1911" 1 0 1 0 1
"1912" 1 0 0 1 0
"1913" 0 1 0 1 1
"1914" 0 0 0 0 0
"1915" 0 0 1 1 0
"1916" 0 0 0 0 0
"1917" 1 1 1 1 1
"1918" 1 0 1 0 0
"1919" 1 0 0 1 0
"1920" 0 0 0 1 0
"1921" 1 0 1 1 0
"1922" 1 0 1 1 0
"1923" 0 0 1 0 0
"1924" 0 1 0 0 0
"1925" 0 1 0 1 0
"1926" 0 1 0 0 0
"1927" 1 0 1 1 0
"1928" 1 0 1 1 0
